Time_s,PositionError_um,MotorCurrent_A,Acceleration_g
0,0.134416784886525,1.14244854371656,0.00854572678495076
0.0005,1.12097949939294,1.23004134666614,0.0217260093516221
0.001,0.667041886206507,1.24074879574214,0.0504449819098795
0.0015,1.84337718738067,1.35764354428151,0.0671199537562263
0.002,1.87488234748492,1.30022461733522,0.0573026618004494
0.0025,1.38348239638808,1.30991272685219,0.0554430498841122
0.003,1.2770703256654,1.30054859054484,0.0218100624032298
0.0035,0.951751113539207,1.26666947187487,-0.00114584249945895
0.004,1.11988343658329,1.19110335411125,0.0126928874145508
0.0045,0.24542194148025,1.2832171118022,0.00313528036023069
0.005,-1.39363528475933,1.20851415317231,0.0220308710300466
0.0055,-0.75813661713921,1.15775477194215,-0.0156363177413131
0.006,-1.5830568452378,1.16806515540573,-0.0501084743633126
0.0065,-1.7798628754049,1.22700151035364,-0.0570051297447262
0.007,-1.33738561134342,1.19914566114605,-0.0743659523368741
0.0075,-1.10648132538385,1.22459746816993,-0.0757012432232513
0.008,-0.477426240038724,1.24042014367775,0.00185982062125215
0.0085,0.597354060256788,1.23886450657116,0.0235843151951506
0.009,1.21668799016806,1.29593893252512,0.0728595480585034
0.0095,1.73661807676058,1.31836693532436,0.0754747413767369
0.01,1.87379482985646,1.36494461589391,0.06977911887273
0.0105,1.48798654992141,1.37516293364316,0.0405607509706601
0.011,1.80173996094081,1.36145185580978,0.0474806244932126
0.0115,1.63479403688441,1.37504522612005,0.0210158571570509
0.012,0.78207045196397,1.32113133308338,0.0261500162921991
0.0125,0.258673252479466,1.31283406565209,0.0131753571487197
0.013,-0.477894819997842,1.25394560844744,0.00278473793348789
0.0135,-1.302236681742,1.22874451900711,0.00824356589982381
0.014,-1.54725977357318,1.23527673617262,-0.0564502193432346
0.0145,-1.98417493318234,1.26477408695328,-0.0800371044151695
0.015,-1.48083888822646,1.25295795284151,-0.057330795060974
0.0155,-1.66618767408437,1.27376668372101,-0.0704754561595093
0.016,-1.12953172256025,1.2698115780878,-0.0294324337882843
0.0165,-0.426675409775268,1.3020954793986,-0.0118870980916705
0.017,-0.29108480416639,1.37284558325087,0.0397265602534791
0.0175,1.41114800048471,1.39907173199338,0.0571331831332613
0.018,1.59154331909344,1.36929937405037,0.0592003993776141
0.0185,1.56797339844953,1.37786877505131,0.0447348493021834
0.019,2.09897271670506,1.45600309200301,0.0481135506415985
0.0195,1.08157390862606,1.41622802224502,0.0291649529878143
0.02,1.02507260937842,1.3941884793795,0.00935938489052969
0.0205,0.384079701533433,1.38561504437121,0.0207042402851029
0.021,-0.14414605577521,1.3433915954804,0.0245118844191929
0.0215,-0.782441100882602,1.32665717962494,0.00779556874471157
0.022,-1.59250551281322,1.31329231442642,-0.0324359135662219
0.0225,-1.70598627052248,1.23830211790887,-0.0795642287835047
0.023,-1.82326450996719,1.28534341298342,-0.074651836597304
0.0235,-1.45842084821812,1.29299480260276,-0.0847594060300202
0.024,-0.948561371184583,1.32552971117069,-0.0320631808545484
0.0245,-0.379648160059219,1.34944596403147,-0.00174996834908758
0.025,-0.21591320549718,1.33389686957291,-0.00286434444676064
0.0255,0.676076359210363,1.40593966189888,0.0315628244656554
0.026,0.917493512378908,1.39854821095897,0.0656246437554399
0.0265,1.33527725982383,1.43665347237637,0.010109348380706
0.027,1.77783930607101,1.45891806197793,0.0300396047320288
0.0275,2.07866129428428,1.4815590144277,0.0193411854379986
0.028,1.1809818880098,1.45318849871922,0.0304645994507106
0.0285,0.95139442757925,1.42482454220035,0.0182403666367476
0.029,0.166925463381555,1.34617999430908,0.0330612326355564
0.0295,-0.163704639298345,1.36274057794337,-0.0148219565062296
0.03,-1.31922850601708,1.36780765262067,-0.0337928906736243
0.0305,-1.49551342578777,1.24885837148839,-0.0553476652433993
0.031,-1.61090492422596,1.31526764208624,-0.0837594894224368
0.0315,-1.47357807039545,1.22760571304871,-0.0636643226129398
0.032,-1.11681060742321,1.3031801554926,-0.0538341526421518
0.0325,-1.02456395750539,1.3445689885511,-0.0254453080714455
0.033,-0.81539885544623,1.30823526215646,0.0102101570671116
0.0335,0.0373946500143456,1.411658988933,0.0363579478839088
0.034,0.591503172551219,1.42292047911403,0.023765049678666
0.0345,1.95789174256886,1.46800501307715,0.0567973358796822
0.035,1.53715838602084,1.46750111887116,0.0183996414892888
0.0355,1.96128453516798,1.44237326727544,0.013869324349752
0.036,1.56019133325825,1.45705006834979,0.0576728677040877
0.0365,1.43869635619271,1.42792952926984,0.0203989801527203
0.037,0.462886225166822,1.34532961897714,-0.00137505858145149
0.0375,-0.350567242334681,1.38134101698273,0.0117100639733231
0.038,-1.0094636211535,1.35042249433232,-0.0203734460522582
0.0385,-1.09364398973134,1.32614537772536,-0.0615000937117718
0.039,-1.650951925564,1.29751385665338,-0.079696071788102
0.0395,-1.82079647768776,1.28135316182476,-0.067206889205727
0.04,-1.33327455365228,1.20619576152999,-0.0642260926310651
0.0405,-1.29450677980335,1.34570108265532,-0.0303105788860429
0.041,-0.80534901059867,1.29254076630835,-0.0151930600202641
0.0415,0.174578106242697,1.3249942698846,-0.000646065997680126
0.042,0.239993102730554,1.39925514839881,0.0411994545671454
0.0425,1.21654808073679,1.3820070910851,0.0493430422805163
0.043,1.70586072159694,1.38707896600818,0.0333655577414177
