Time_s,Reference_um,Evaluation_um
0,0.189757593008776,0.262679083658735
0.0005,0.518828477965197,1.27605105121192
0.001,0.916735057675416,1.67870676955715
0.0015,1.0043234623382,1.71823866586808
0.002,0.865376066746716,1.06293557635582
0.0025,0.636656039295662,0.659547106375647
0.003,0.494835685278142,-0.0695515156845883
0.0035,0.227809037829356,0.151244652261603
0.004,0.00461143438687417,0.0314428005002046
0.0045,-0.144374761949584,2.53859244642861e-05
0.005,-0.452339017381924,-0.387338524384511
0.0055,-0.817292960524801,-0.776197762510205
0.006,-0.922184843513377,-1.20068266407541
0.0065,-0.988286663222356,-1.77208633451735
0.007,-0.810829946852096,-1.59303477144501
0.0075,-0.425349508342632,-0.928110260179528
0.008,0.0385721946825002,-0.0639074252693129
0.0085,0.379033231007867,0.883835031307074
0.009,0.642247539855622,1.20945943744965
0.0095,0.851016604409169,1.44963639779777
0.01,0.875033073032156,1.07378990740435
0.0105,0.750399263592723,0.754772529323183
0.011,0.447142070481844,0.471149497756921
0.0115,0.427653171498308,0.325810295908546
0.012,0.254364219023921,0.393004420539754
0.0125,0.00815258195059431,0.382780636325979
0.013,-0.327022230884766,-0.0548966991263608
0.0135,-0.599751709071273,-0.779188372287497
0.014,-0.777203750669826,-1.1817933590073
0.0145,-0.916027932833502,-1.75005182088054
0.015,-0.928706804127749,-1.69846664567661
0.0155,-0.749534086954452,-1.29532752389016
0.016,-0.230402306241751,-0.241304142057292
0.0165,0.0866680004272677,0.499780794970423
0.017,0.481887884807063,1.12296050399719
0.0175,0.72854859441072,1.24828260769027
0.018,0.803575964077692,1.16641054635412
0.0185,0.781603708039156,0.704341793388343
0.019,0.587722719777331,0.541392857907489
0.0195,0.559732308695538,0.532536116727348
0.02,0.41575193564466,0.594129113185966
0.0205,0.148417219167499,0.545991651982128
0.021,-0.0672317774190508,0.243186623089439
0.0215,-0.479737136677016,-0.333120663261671
0.022,-0.838722362708808,-1.03769173819607
0.0225,-0.919654462606772,-1.66218986917373
0.023,-1.06609906087587,-1.65001291209837
0.0235,-0.817586101637055,-1.40965199896349
0.024,-0.462045682227133,-0.596348645548075
0.0245,-0.10384515963484,0.232893533156468
0.025,0.214483086353627,0.873576834746655
0.0255,0.516876252594577,1.14506553283152
0.026,0.70374662505889,0.988329678840519
0.0265,0.772020499766877,0.683420736288341
0.027,0.845104702487341,0.569791613287574
0.0275,0.64903914762552,0.608019541288413
0.028,0.647212327905399,0.757914914321547
0.0285,0.36777773775035,1.00817148254354
0.029,0.0340378345053193,0.500301173963704
0.0295,-0.24174411303927,-0.0536833812050979
0.03,-0.571573366328468,-0.798876734731141
0.0305,-0.855393700308922,-1.5511742402612
0.031,-1.02210035643702,-1.75121285994724
0.0315,-0.882908587687143,-1.55806705290681
0.032,-0.609030762969675,-0.7996856839724
0.0325,-0.209330199451347,-0.0343389536420554
0.033,0.180751570327362,0.538385473854029
0.0335,0.29512233690149,0.778470161804752
0.034,0.671583179805916,0.578110605383528
0.0345,0.666328895562891,0.498419174409872
0.035,0.767468769172332,0.703871932863205
0.0355,0.79612330335923,0.748862682511145
0.036,0.69356394874164,1.14240302618816
0.0365,0.731415277221092,1.21665905364929
0.037,0.31714187225096,0.976194862209702
0.0375,-0.0189525322778224,0.240287913754974
0.038,-0.477306012198891,-0.689200489486254
0.0385,-0.724935620442273,-1.56198427756741
0.039,-1.08180749600662,-1.62569336665724
0.0395,-1.00262254123047,-1.60324043859019
0.04,-0.794255609027808,-1.13381056908645
0.0405,-0.417519210577976,-0.276206432157597
0.041,-0.107956616519775,0.10641460717212
0.0415,0.0842845826880912,0.515804626709938
0.042,0.295305032150117,0.520639367789078
0.0425,0.455551590368097,0.494227705096394
0.043,0.669465938973534,0.430918210410021
0.0435,0.900712914901147,0.841294031468833
0.044,0.903556951417669,1.21777396828641
0.0445,0.736487307224775,1.44268819859281
0.045,0.539054644189761,1.19428258232031
0.0455,0.217007409618524,0.415671364977354
0.046,-0.274716722794212,-0.384605717406412
0.0465,-0.599964130379688,-1.32140409297089
0.047,-0.940803038355605,-1.66134075125227
0.0475,-0.893759919173613,-1.61878248191131
0.048,-0.847840864908163,-1.05214641675368
0.0485,-0.541886602593203,-0.393587052356557
0.049,-0.389687682292217,-0.178601573630913
0.0495,-0.0252106100335817,0.167604733223465
0.05,0.0863187381748763,0.22823383389292
0.0505,0.388937204845923,0.140339658427205
0.051,0.593673398898274,0.459969939879905
0.0515,0.793997450990926,0.684816945425015
0.052,1.01923165706997,1.27899513817723
0.0525,0.864768348588967,1.6209698605419
0.053,0.818862730722435,1.60640616727541
0.0535,0.371716861865049,0.775596892614972
0.054,-0.12419195578449,0.0370987136143899
